縣市,作品名稱,組別,科別,原始連結,狀態,備註
高雄市,堰塞湖不同土石粒徑組成之穩定性及溢流、潰壩氾濫區域差別性之探討,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=五福國中（苓雅區）；另列團隊合作獎
高雄市,「尼」搖得「震」好–自給電阻尼器之可行性探討,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=後勁國中（楠梓區）；另列創意獎
高雄市,智取黑潮：具備主動式生態防護之垂直軸洋流發電系統開發,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=陽明國中（三民區）；另列探究精神獎
高雄市,新化斷層微地形與土壤及植被探究,國中組,地球科學科,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,入圍前三名,官方PDF未明示是否推薦全國科展；學校=路竹高中（路竹區）
金門縣,肌密大公開：pH5.5洗沐用品的去油力與溫和度大對決,國小組,化學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,蚵路旁的紅寶石：金門裸花鹼蓬的微棲地群聚護衛與紅化機制探討,國小組,生物科、農業與食品科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,吸管戲法-以馬格努斯效應初探吸管在空中的運動軌跡,國中組,物理科、物理與天文學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,請再給我一間便利商店吧！找出金門便利商店最佳拓點,國中組,生活與應用科學科(一)、工程學科（一）、電腦與資訊學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,十二點圓到六點線─日本定理的延伸思考,高級中等學校組,數學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,以校園望遠鏡觀測WASP-33b的光變,高級中等學校組,地球科學科、地球與行星科學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,「虻」裡偷閒,高級中等學校組,生物科、農業與食品科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
金門縣,一「丸」打盡，蔬果貢丸,高級中等學校組,生活與應用科學科(二)・農業與食品學科,https://kmscience.km.edu.tw/site/news,推薦參加全國科展,依官方「國展」公告與成績PDF交叉驗證
新竹市,呆若木「雞」—新竹市大湖里龍眼雞族群監測及生態之研究,國小組,生物科,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁「▲送第66屆全國科展名單（6件）」
新竹市,基於電腦視覺與物聯網技術之智慧坐姿偵測與遠端回饋系統研製,國中組,生活與應用科學科(一)機電與資訊,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名；屬國中組
新竹市,「第」造鮮境：第倫桃果膠生物可分解保鮮薄膜之探究—配方比例對成膜性質與功能性的影響,國小組,生活與應用科學科(二),https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名
新竹市,仙草的華麗變身：分析仙草多醣薄膜特性與異質多醣凝膠的交互作用,國中組,化學科,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名；屬國中組
新竹市,會說話的電線,國小組,生活與應用科學科(三),https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名
新竹市,從五方連看一刀剪,國中組,數學科,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,送第66屆全國科展名單,PDF首頁列名；屬國中組
新竹縣,「格」外來「點」-格點與三角形之幾何關係探討,國中組,數學科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,微小作用力的可視化：親疏水性對Cheerios effect之影響研究,國小組,物理科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,綠豆的相思，相機照得住。,國小組,化學科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,內建防禦機制-蟲菌穴的防護效益分析,國中組,生物科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,「隕」落城市？新竹地區磁性岩石探討—以蓮花寺周邊為例,國中組,地球科學科,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽；國中組地球科學科
新竹縣,旋律暗藏的祕密：結合音樂與超聲波的隱密傳輸,國小組,生活與應用科學科(一),https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
新竹縣,「客」製化強韌!—運用在地智慧改良鳳梨手抄紙之研究,國小組,生活與應用科學科(三),https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,推薦參加全國科展,官方獲獎名單PDF列第一名並標示推薦參加全國賽
